path,phoneme
multi_phoneme\ch\ch_rep_0.wav,|ch||ch||ch|
multi_phoneme\ch\ch_rep_1.wav,|ch||ch||ch|
multi_phoneme\ch\ch_rep_2.wav,|ch||ch||ch|
multi_phoneme\ch\ch_rep_3.wav,|ch||ch||ch|
multi_phoneme\ch\ch_rep_4.wav,|ch||ch||ch|
multi_phoneme\ch\ch_rep_5.wav,|ch||ch||ch|
multi_phoneme\ch\ch_rep_6.wav,|ch||ch||ch|
multi_phoneme\ch\ch_rep_7.wav,|ch||ch||ch|
multi_phoneme\ch\ch_rep_8.wav,|ch||ch||ch|
multi_phoneme\ch\ch_rep_9.wav,|ch||ch||ch|
multi_phoneme\f\f_rep_0.wav,|f||f||f|
multi_phoneme\f\f_rep_1.wav,|f||f||f|
multi_phoneme\f\f_rep_2.wav,|f||f||f|
multi_phoneme\f\f_rep_3.wav,|f||f||f|
multi_phoneme\f\f_rep_4.wav,|f||f||f|
multi_phoneme\f\f_rep_5.wav,|f||f||f|
multi_phoneme\f\f_rep_6.wav,|f||f||f|
multi_phoneme\f\f_rep_7.wav,|f||f||f|
multi_phoneme\f\f_rep_8.wav,|f||f||f|
multi_phoneme\f\f_rep_9.wav,|f||f||f|
multi_phoneme\sh\sh_rep_0.wav,|sh||sh||sh|
multi_phoneme\sh\sh_rep_1.wav,|sh||sh||sh|
multi_phoneme\sh\sh_rep_2.wav,|sh||sh||sh|
multi_phoneme\sh\sh_rep_3.wav,|sh||sh||sh|
multi_phoneme\sh\sh_rep_4.wav,|sh||sh||sh|
multi_phoneme\sh\sh_rep_5.wav,|sh||sh||sh|
multi_phoneme\sh\sh_rep_6.wav,|sh||sh||sh|
multi_phoneme\sh\sh_rep_7.wav,|sh||sh||sh|
multi_phoneme\sh\sh_rep_8.wav,|sh||sh||sh|
multi_phoneme\sh\sh_rep_9.wav,|sh||sh||sh|
multi_phoneme\th\th_rep_0.wav,|th||th||th|
multi_phoneme\th\th_rep_1.wav,|th||th||th|
multi_phoneme\th\th_rep_2.wav,|th||th||th|
multi_phoneme\th\th_rep_3.wav,|th||th||th|
multi_phoneme\th\th_rep_4.wav,|th||th||th|
multi_phoneme\th\th_rep_5.wav,|th||th||th|
multi_phoneme\th\th_rep_6.wav,|th||th||th|
multi_phoneme\th\th_rep_7.wav,|th||th||th|
multi_phoneme\th\th_rep_8.wav,|th||th||th|
multi_phoneme\th\th_rep_9.wav,|th||th||th|
